Date,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2023-01-01 00:00:00,16720.0,16737.7,16530.9,16534.0,3986.759,66305264.0387,3278,1907.958,31846819.8168
2023-01-01 01:00:00,16532.4,16737.7,16530.9,16586.8,4258.955,70749186.6069,2877,2389.005,39774389.8446
2023-01-01 02:00:00,16586.9,16737.7,16586.8,16596.1,4018.37,66803786.7693,3290,2030.717,33820935.9034
2023-01-01 03:00:00,16596.1,16719.9,16541.0,16659.9,4546.787,75591808.0396,3336,2118.437,35300879.6975
2023-01-01 04:00:00,16659.9,16729.9,16525.2,16666.6,4150.447,68990482.5289,3542,2092.478,34927284.7551
2023-01-01 05:00:00,16550.0,16729.0,16536.0,16568.6,4999.231,83116058.591,3527,2750.392,45875691.1214
2023-01-01 06:00:00,16568.6,16718.7,16555.0,16600.1,3742.615,62281954.1736,3330,1861.051,31073632.6228
2023-01-01 07:00:00,16600.1,16700.0,16600.0,16603.0,4433.378,73803657.551,3302,2143.764,35794048.2839
2023-01-01 08:00:00,16603.0,16729.9,16603.0,16641.0,4771.45,79582843.5659,894,2946.916,49224691.4075
2023-01-01 09:00:00,16641.0,16729.9,16540.0,16697.0,3523.873,58621458.7128,830,1709.643,28561075.5273
2023-01-01 10:00:00,16601.1,16729.9,16544.6,16582.0,4000.694,66565320.0644,897,2016.699,33677157.812
2023-01-01 11:00:00,16699.9,16699.9,16568.0,16682.2,3524.484,58619349.0687,865,1745.844,29136720.9258
2023-01-01 12:00:00,16682.2,16699.7,16568.0,16615.5,4254.126,70792642.2689,939,2225.902,37122587.3699
2023-01-01 13:00:00,16688.0,16729.8,16568.4,16680.0,4608.581,76670779.8952,971,2178.662,36377547.8076
2023-01-01 14:00:00,16680.0,16715.5,16571.0,16612.0,4552.182,75750547.2699,984,2276.738,38031599.4799
2023-01-01 15:00:00,16690.0,16710.0,16572.0,16600.0,4654.779,77511901.9445,909,2469.913,41242473.2487
2023-01-01 16:00:00,16600.0,16710.0,16600.0,16707.0,4011.414,66881184.957,850,2110.193,35236501.1489
2023-01-01 17:00:00,16707.0,16740.0,16615.5,16720.0,4376.826,72994999.2803,986,2184.646,36526397.5018
2023-01-01 18:00:00,16720.0,16740.0,16615.5,16740.0,4639.69,77372231.6413,1078,2249.065,37629832.7709
2023-01-01 19:00:00,16740.0,16749.9,16615.5,16641.0,4063.269,67778800.8679,843,2062.043,34499211.8511
2023-01-01 20:00:00,16641.0,16739.0,16600.0,16620.1,4701.572,78332404.1991,2837,2405.15,40157199.5122
2023-01-01 21:00:00,16729.9,16750.0,16620.0,16700.0,4593.639,76575511.3145,3902,2381.571,39786026.6974
2023-01-01 22:00:00,16700.0,16755.0,16637.0,16650.5,5263.385,87822400.0212,3471,2508.617,41935929.4802
2023-01-01 23:00:00,16650.5,16794.0,16620.0,16621.5,4452.125,74308499.3092,3437,2151.925,36048583.6341
2023-01-02 00:00:00,16621.5,16795.0,16621.5,16641.5,4183.81,69892620.3723,906,2049.435,34378155.6758
2023-01-02 01:00:00,16770.0,16795.0,16572.0,16629.0,4834.105,80610680.1481,966,2355.42,39431849.0165
2023-01-02 02:00:00,16629.0,16757.8,16610.0,16740.0,4504.56,75075839.405,867,2289.622,38266895.959
2023-01-02 03:00:00,16740.0,16757.7,16617.7,16715.3,4468.694,74569469.302,1062,2208.375,36966332.0071
2023-01-02 04:00:00,16715.3,16757.5,16650.0,16748.0,4322.066,72229684.3829,938,2198.721,36824952.2005
2023-01-02 05:00:00,16748.0,16750.0,16640.0,16700.2,6032.537,100646593.9194,930,2493.361,41692754.7275
2023-01-02 06:00:00,16700.2,16987.0,16666.0,16765.5,8323.185,139709939.7047,1663,5922.063,99646175.5585
2023-01-02 07:00:00,16765.5,16987.0,16672.2,16740.1,4960.272,83578001.9775,1735,2795.939,47345046.9882
2023-01-02 08:00:00,16740.1,16974.0,16739.3,16973.9,5224.353,87758714.289,1306,2944.888,49592366.4057
2023-01-02 09:00:00,16973.4,16987.0,16739.5,16739.5,5509.235,92666402.0326,1623,2422.444,40982674.4097
2023-01-02 10:00:00,16940.0,16987.0,16739.5,16761.0,4800.054,80998161.6026,1555,2718.832,46082851.8471
2023-01-02 11:00:00,16761.0,16978.3,16756.1,16758.1,4271.953,72048383.9278,1809,2149.275,36450406.7109
2023-01-02 12:00:00,16790.1,16969.8,16756.1,16827.5,4960.111,83664148.305,1661,2602.117,44101057.1831
2023-01-02 13:00:00,16766.7,16900.0,16766.6,16878.8,5100.833,85849093.3129,1486,2526.521,42671544.8523
2023-01-02 14:00:00,16875.2,16878.8,16767.0,16805.0,4454.259,74891823.6804,1335,2420.942,40776099.6146
2023-01-02 15:00:00,16830.0,16899.4,16767.1,16784.0,6883.857,115702761.2738,1514,3881.419,65306594.5373
2023-01-02 16:00:00,16862.0,16949.7,16783.1,16802.0,4244.941,71543064.6019,2143,2110.402,35671115.5449
2023-01-02 17:00:00,16922.8,16949.7,16757.0,16781.3,4063.089,68498060.9337,1899,1948.928,32969973.2818
