Date,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2023-03-27 04:40:00,27908.6,27911.2,27892.4,27898.5,34.058,950522.9092,12,15.45,431228.04
2023-03-27 04:41:00,27911.2,27911.2,27898.2,27900.2,71.009,1981081.7868,17,13.254,369817.6638
2023-03-27 04:42:00,27898.3,27898.3,27891.1,27895.0,20.343,567429.8808,14,3.538,98692.51
2023-03-27 04:43:00,27891.1,27911.2,27871.4,27911.2,188.411,5255250.2964,37,48.671,1358089.6194
2023-03-27 04:44:00,27911.2,27911.2,27890.8,27900.0,64.954,1812150.6228,19,49.766,1388515.8864
2023-03-27 04:45:00,27894.5,27902.8,27871.4,27902.8,57.284,1598007.7761,28,33.548,936030.374
2023-03-27 04:46:00,27902.8,27902.8,27886.9,27886.9,57.336,1599537.7342,29,37.903,1057599.8284
2023-03-27 04:47:00,27886.9,27902.8,27886.9,27892.0,30.266,844199.5015,25,26.231,731675.581
2023-03-27 04:48:00,27892.0,27894.8,27886.9,27894.8,60.876,1697828.978,17,34.048,949679.2248
2023-03-27 04:49:00,27886.9,27901.3,27886.9,27898.5,58.801,1640366.5108,13,50.7,1414454.7339
2023-03-27 04:50:00,27898.5,27901.3,27886.9,27899.0,78.067,2177783.6982,27,59.314,1654793.6273
2023-03-27 04:51:00,27899.0,27902.8,27886.9,27901.0,55.304,1542892.6693,21,43.437,1211942.6124
2023-03-27 04:52:00,27901.0,27914.0,27884.1,27912.6,45.644,1273212.3297,26,11.495,320853.2504
2023-03-27 04:53:00,27914.0,27914.0,27904.7,27908.7,52.546,1466392.5432,18,15.497,432519.2181
2023-03-27 04:54:00,27908.7,27914.3,27901.9,27902.7,77.558,2164379.3175,24,11.539,322069.2383
2023-03-27 04:55:00,27914.3,27915.6,27902.7,27902.7,87.65,2446232.7703,24,47.469,1325074.2616
2023-03-27 04:56:00,27914.5,27915.6,27884.1,27915.0,108.414,3025361.5137,28,31.242,872123.6901
2023-03-27 04:57:00,27912.1,27915.6,27884.1,27914.0,72.632,2027443.7572,25,47.07,1313987.134
2023-03-27 04:58:00,27914.0,27915.6,27908.4,27915.6,64.646,1804458.4566,20,25.828,721004.1168
2023-03-27 04:59:00,27915.6,27917.1,27905.6,27905.6,111.402,3109430.6035,21,66.683,1861465.7571
2023-03-27 05:00:00,27905.6,27927.0,27899.5,27899.5,128.375,3583525.9664,34,86.81,2423752.4695
2023-03-27 05:01:00,27911.8,27911.8,27884.1,27896.7,68.606,1914178.4358,19,18.681,521406.1022
2023-03-27 05:02:00,27896.7,27901.6,27892.7,27892.7,45.209,1261306.7125,18,41.812,1166550.782
2023-03-27 05:03:00,27901.6,27904.6,27891.3,27904.6,63.305,1766039.37,20,33.61,937799.6958
2023-03-27 05:04:00,27891.3,27920.8,27891.3,27901.7,53.988,1506491.1529,28,26.729,746144.5091
2023-03-27 05:05:00,27901.7,27904.3,27899.5,27899.5,20.319,566941.949,14,18.906,527518.8674
2023-03-27 05:06:00,27904.3,27904.3,27891.3,27891.3,41.047,1145013.7152,42,15.37,428786.833
2023-03-27 05:07:00,27894.0,27896.3,27888.5,27894.3,63.068,1759111.1217,23,18.684,521190.6072
2023-03-27 05:08:00,27894.3,27894.3,27884.9,27891.5,51.59,1438893.19,22,40.79,1137694.3918
2023-03-27 05:09:00,27888.5,27896.3,27885.5,27885.5,103.078,2874970.5908,42,72.339,2017766.6329
2023-03-27 05:10:00,27885.5,27892.3,27885.5,27885.5,27.317,761909.8259,15,23.768,662944.1864
2023-03-27 05:11:00,27887.2,27887.2,27884.5,27887.2,53.964,1504834.8838,14,23.259,648628.3848
