Date,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2022-12-01 09:02:00,17111.3,17112.1,17106.6,17106.8,77.072,1318601.5785,13,54.776,937181.1034
2022-12-01 09:03:00,17107.3,17110.8,17106.8,17106.8,111.637,1909973.6746,10,51.011,872784.9052
2022-12-01 09:04:00,17106.8,17110.8,17106.8,17110.8,32.783,560914.69,16,20.761,355236.6522
2022-12-01 09:05:00,17108.3,17108.3,17104.1,17107.1,65.628,1122645.0887,14,17.254,295177.9932
2022-12-01 09:06:00,17106.4,17108.3,17104.9,17104.9,184.039,3148192.011,23,130.154,2226456.112
2022-12-01 09:07:00,17104.4,17106.8,17100.3,17100.3,70.207,1200760.225,24,37.902,648302.9802
2022-12-01 09:08:00,17100.0,17100.8,17096.2,17098.6,101.288,1731794.8574,23,29.077,497214.3104
2022-12-01 09:09:00,17096.9,17098.6,17053.4,17057.6,164.607,2813919.2628,29,79.63,1361544.749
2022-12-01 09:10:00,17057.6,17102.8,17050.2,17102.6,22.08,377148.2906,23,18.637,318336.301
2022-12-01 09:11:00,17097.2,17098.4,17096.4,17098.1,233.488,3991962.2163,16,23.695,405116.1709
2022-12-01 09:12:00,17098.1,17098.1,17092.8,17096.7,118.456,2024939.8689,26,77.585,1326332.1755
2022-12-01 09:13:00,17096.7,17096.7,17089.8,17091.0,181.819,3107583.2405,18,28.71,490727.6822
2022-12-01 09:14:00,17092.6,17092.6,17091.3,17091.7,20.445,349449.519,10,13.668,233621.5195
2022-12-01 09:15:00,17091.7,17092.5,17091.7,17091.7,31.924,545650.4983,9,21.175,361931.815
2022-12-01 09:16:00,17091.7,17098.1,17091.7,17098.1,86.802,1483866.543,17,38.367,655963.3936
2022-12-01 09:17:00,17098.1,17102.5,17093.5,17102.5,119.691,2046504.4404,18,74.978,1282054.3525
2022-12-01 09:18:00,17096.7,17100.4,17095.9,17097.5,49.565,847430.144,11,12.42,212347.0888
2022-12-01 09:19:00,17100.4,17100.8,17095.9,17097.8,130.39,2229458.7829,26,95.858,1639049.7455
2022-12-01 09:20:00,17097.8,17100.8,17095.9,17100.7,128.256,2192965.4717,21,46.443,794207.8211
2022-12-01 09:21:00,17095.9,17102.5,17095.9,17098.3,70.124,1199128.383,31,34.148,583997.2791
2022-12-01 09:22:00,17102.5,17102.6,17092.9,17096.0,134.342,2296870.7184,35,81.493,1393366.8721
2022-12-01 09:23:00,17094.3,17097.0,17091.7,17096.3,81.158,1387294.9132,23,17.61,301075.3308
2022-12-01 09:24:00,17096.3,17096.3,17091.7,17092.4,82.307,1406873.4582,23,25.139,429735.0045
