Date,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2022-12-07 22:18:00,16827.1,16828.7,16824.3,16827.6,87.128,1466080.4217,14,60.508,1018217.5557
2022-12-07 22:19:00,16824.3,16827.6,16824.3,16827.6,22.657,381207.41,6,7.569,127362.3716
2022-12-07 22:20:00,16828.7,16900.0,16824.3,16900.0,14.416,242571.0036,10,3.322,55918.2489
2022-12-07 22:21:00,16890.0,16960.0,16828.5,16959.9,165.666,2799192.2612,44,114.358,1935279.6558
2022-12-07 22:22:00,16828.6,16958.2,16826.4,16834.4,81.626,1374079.6474,24,40.553,682734.6445
2022-12-07 22:23:00,16829.0,16920.0,16828.8,16833.0,90.825,1531465.5274,22,52.517,886776.2514
2022-12-07 22:24:00,16920.0,16931.1,16837.7,16839.8,57.04,963285.1156,17,36.843,622963.6905
2022-12-07 22:25:00,16839.8,16960.0,16835.5,16839.8,101.817,1718572.9897,44,41.417,701530.5094
2022-12-07 22:26:00,16843.2,16950.0,16832.8,16835.6,173.999,2930702.607,29,44.282,746536.47
2022-12-07 22:27:00,16838.3,16950.0,16834.8,16838.7,147.8,2490363.4682,31,62.035,1046025.0947
2022-12-07 22:28:00,16834.8,16835.4,16827.6,16835.4,29.703,499965.9808,11,8.917,150106.243
2022-12-07 22:29:00,16835.4,16836.5,16827.5,16836.5,20.939,352414.2353,13,3.603,60658.1398
2022-12-07 22:30:00,16827.6,16838.7,16824.3,16833.5,60.806,1023480.3352,12,28.673,482787.1139
2022-12-07 22:31:00,16824.4,16904.0,16824.3,16904.0,118.549,1999258.976,30,59.517,1004745.8571
2022-12-07 22:32:00,16856.4,16950.0,16824.3,16830.0,198.216,3347243.5528,107,110.355,1868699.9733
2022-12-07 22:33:00,16824.3,16950.0,16824.3,16881.6,21.935,370765.993,45,9.799,166087.1917
2022-12-07 22:34:00,16881.6,16960.0,16830.0,16866.0,71.869,1214899.0843,29,35.423,600672.7817
2022-12-07 22:35:00,16960.0,16971.7,16820.0,16820.0,86.748,1466637.5043,53,50.567,857878.0915
2022-12-07 22:36:00,16971.7,16977.0,16804.7,16971.7,93.208,1571811.9579,65,28.421,482365.1383
2022-12-07 22:37:00,16960.0,16977.0,16811.5,16974.6,57.608,975729.5053,35,40.88,692824.9387
2022-12-07 22:38:00,16977.0,16977.0,16816.5,16821.7,125.831,2124172.73,48,63.945,1082728.0069
2022-12-07 22:39:00,16823.8,16823.8,16818.5,16821.3,35.98,605185.6877,12,17.759,298735.7992
2022-12-07 22:40:00,16823.0,16917.5,16819.0,16820.7,109.016,1837944.8999,31,76.017,1282889.9646
2022-12-07 22:41:00,16820.7,16931.1,16819.0,16820.3,132.875,2237666.0255,27,51.711,872446.9722
2022-12-07 22:42:00,16820.3,16940.0,16819.2,16821.5,26.96,453505.3459,16,8.833,148596.4201
2022-12-07 22:43:00,16821.6,16977.0,16821.6,16829.4,17.942,303746.9904,19,14.584,247259.3775
2022-12-07 22:44:00,16834.1,16977.0,16834.1,16977.0,19.102,322464.0535,18,14.53,245278.5068
2022-12-07 22:45:00,16970.0,16977.0,16843.9,16845.9,95.855,1624465.3406,27,71.045,1205828.9807
2022-12-07 22:46:00,16845.9,16977.0,16845.6,16845.6,54.134,912447.6572,25,39.63,668089.8899
2022-12-07 22:47:00,16845.6,16848.1,16845.6,16845.6,16.372,275796.4332,6,0.108,1819.5948
2022-12-07 22:48:00,16848.1,16972.0,16841.9,16972.0,155.269,2625965.2028,54,102.17,1729104.736
2022-12-07 22:49:00,16883.5,16972.0,16841.9,16843.0,62.108,1047705.1507,27,5.871,99050.7594
2022-12-07 22:50:00,16843.1,16972.0,16841.3,16842.7,82.686,1393390.4812,24,40.459,682179.9068
2022-12-07 22:51:00,16843.4,16971.7,16835.6,16835.6,125.918,2123632.2823,36,29.503,499851.743
2022-12-07 22:52:00,16835.6,16866.8,16835.6,16835.6,75.287,1267894.1728,18,47.442,799101.7049
2022-12-07 22:53:00,16838.7,16960.0,16835.9,16837.0,78.104,1316524.7149,25,46.477,784028.2567
2022-12-07 22:54:00,16836.5,16977.0,16836.3,16845.5,88.524,1496402.7353,40,40.994,695789.0388
2022-12-07 22:55:00,16843.6,16847.2,16843.6,16847.2,107.594,1812581.6859,20,77.534,1306207.5684
2022-12-07 22:56:00,16847.2,16980.0,16845.1,16980.0,90.297,1525168.0607,42,77.211,1304727.9416
2022-12-07 22:57:00,16845.6,16846.2,16843.6,16844.3,25.679,432570.9969,12,16.258,273883.5606
2022-12-07 22:58:00,16846.2,16847.9,16846.2,16846.6,25.399,427886.0212,9,25.399,427886.0212
