Date,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2023-01-14 13:05:00,20874.0,20999.8,20874.0,20999.8,582.612,12178240.7892,139,371.932,7774845.934
2023-01-14 13:10:00,20927.8,20927.8,20758.4,20847.6,737.831,15398878.8283,159,328.013,6843104.9913
2023-01-14 13:15:00,20858.8,20872.1,20790.0,20818.4,1056.58,22019262.4943,124,552.212,11509658.6208
2023-01-14 13:20:00,20817.3,20845.3,20799.6,20823.7,899.636,18732944.5423,144,407.224,8479268.9302
2023-01-14 13:25:00,20823.7,20968.0,20820.8,20836.5,466.115,9714885.9211,137,306.976,6399097.7601
2023-01-14 13:30:00,20876.5,20927.1,20818.7,20859.3,383.767,8007697.6827,181,165.24,3451295.1154
2023-01-14 13:35:00,20922.2,20947.2,20818.7,20900.7,583.516,12193432.8945,177,283.288,5921162.447
2023-01-14 13:40:00,20891.8,20907.6,20818.7,20904.8,390.842,8163246.786,99,108.648,2270837.3366
2023-01-14 13:45:00,20901.9,20915.4,20876.1,20888.0,734.503,15349772.0547,142,257.975,5392290.8248
2023-01-14 13:50:00,20886.1,20905.0,20872.9,20905.0,669.782,13989832.0839,127,388.146,8107395.1818
2023-01-14 13:55:00,20905.0,20932.1,20884.4,20930.6,491.517,10276202.1504,119,213.518,4465317.0348
2023-01-14 14:00:00,20928.6,20936.0,20900.0,20913.9,767.654,16054158.7502,144,281.901,5895618.4819
2023-01-14 14:05:00,20911.8,20989.0,20900.7,20922.2,2185.463,45734826.2014,272,1631.592,34148834.0526
2023-01-14 14:10:00,20933.8,20998.9,20886.5,20927.0,2022.261,42308712.576,238,1404.032,29387082.1212
2023-01-14 14:15:00,20906.2,20998.9,20890.8,20893.4,1399.889,29275528.438,155,1078.385,22555254.9077
2023-01-14 14:20:00,20893.4,20998.9,20876.4,20902.8,2323.311,48594542.3348,320,1661.172,34760546.587
2023-01-14 14:25:00,20902.3,20998.9,20862.0,20919.4,2071.358,43330383.9104,334,1205.597,25234476.3008
2023-01-14 14:30:00,20917.3,21164.1,20911.2,21131.7,2757.782,57858370.9087,367,2218.321,46557061.5407
2023-01-14 14:35:00,21144.5,21745.0,20823.7,20871.4,1471.127,30887013.4931,314,834.933,17554298.8985
2023-01-14 14:40:00,20933.6,21745.0,20650.6,20774.5,2228.436,46402661.3696,503,1333.699,27783229.9737
2023-01-14 14:45:00,20744.6,20848.6,20718.2,20833.7,1629.76,33857214.9467,182,1012.517,21040044.5253
2023-01-14 14:50:00,20828.3,20842.9,20764.4,20786.5,1792.852,37324052.5303,207,721.549,15024149.6387
2023-01-14 14:55:00,20782.6,21745.0,20782.6,20822.9,2546.462,53263403.3715,398,1513.758,31745209.8384
2023-01-14 15:00:00,20822.9,21745.0,20787.8,20807.1,2382.701,49833587.3952,539,946.28,19854407.6637
2023-01-14 15:05:00,20835.0,20851.0,20799.9,20801.5,1798.512,37435502.5869,145,766.591,15954475.1115
2023-01-14 15:10:00,20800.0,20816.2,20711.4,20789.3,779.352,16203360.1847,151,420.857,8749897.0126
2023-01-14 15:15:00,20791.5,20854.1,20711.4,20779.4,929.394,19328733.3006,141,435.279,9054980.258
2023-01-14 15:20:00,20779.4,20829.1,20779.2,20805.3,727.852,15142207.8231,170,440.019,9154437.0759
2023-01-14 15:25:00,20818.3,21745.0,20792.8,20807.5,3833.382,80859938.6694,563,3249.467,68583033.2424
2023-01-14 15:30:00,20808.4,21149.0,20700.0,20849.4,2327.283,48472496.4982,236,973.503,20289345.5753
2023-01-14 15:35:00,20850.8,21155.9,20705.0,20792.7,2156.733,44943313.7202,325,978.099,20376120.9537
2023-01-14 15:40:00,20786.7,20837.3,20550.0,20713.2,3090.956,64098803.9669,236,1489.267,30902264.6314
2023-01-14 15:45:00,20713.2,20796.8,20660.0,20719.0,1514.665,31397327.0298,142,744.155,15426132.4177
2023-01-14 15:50:00,20725.5,20796.8,20717.9,20756.9,557.825,11570679.8472,113,284.409,5899341.3395
2023-01-14 15:55:00,20751.0,20798.9,20730.8,20788.3,324.378,6735441.4642,107,147.9,3072087.795
2023-01-14 16:00:00,20788.3,20800.0,20560.0,20560.0,588.586,12211001.9531,147,357.467,7433528.3838
2023-01-14 16:05:00,20780.0,20790.0,20560.0,20769.0,369.475,7637132.9418,130,185.154,3846024.8748
2023-01-14 16:10:00,20588.0,20755.0,20580.5,20733.0,219.861,4540072.5415,110,106.031,2196987.984
2023-01-14 16:15:00,20733.0,20779.9,20550.0,20777.5,347.337,7187419.1208,138,164.843,3422436.6608
2023-01-14 16:20:00,20779.3,20779.9,20550.0,20550.0,412.833,8525145.5803,231,175.431,3644327.7981
2023-01-14 16:25:00,20666.7,20779.9,20550.0,20570.5,466.19,9638987.1831,227,252.88,5251386.607
2023-01-14 16:30:00,20666.7,20779.9,20550.0,20777.5,395.834,8182729.882,234,192.68,4001022.8957
2023-01-14 16:35:00,20777.5,20779.9,20590.0,20779.9,382.211,7915495.3351,106,198.895,4130348.4129
2023-01-14 16:40:00,20766.0,20779.9,20550.2,20588.0,258.89,5349632.0501,154,92.778,1926616.2585
2023-01-14 16:45:00,20588.0,20779.9,20577.2,20622.0,337.518,6983599.1731,111,137.537,2855106.2973
2023-01-14 16:50:00,20622.0,20794.7,20577.2,20788.9,292.771,6065349.9781,136,159.386,3310254.9373
2023-01-14 16:55:00,20792.4,20800.0,20577.2,20798.9,355.571,7364966.4438,120,168.734,3507269.6491
2023-01-14 17:00:00,20800.0,20810.3,20566.2,20771.2,465.048,9636903.7938,163,215.251,4476766.4369
2023-01-14 17:05:00,20771.2,20823.2,20566.2,20816.1,532.321,11047349.872,138,180.076,3746289.2996
2023-01-14 17:10:00,20812.4,20834.9,20566.2,20810.0,424.679,8828166.9709,118,148.802,3099061.7964
2023-01-14 17:15:00,20810.0,20849.8,20600.0,20818.3,455.094,9445719.7416,162,179.241,3733481.0753
2023-01-14 17:20:00,20818.3,20820.0,20622.0,20800.0,489.571,10141454.313,171,236.496,4919446.0228
2023-01-14 17:25:00,20666.0,20800.0,20627.0,20633.0,295.92,6126726.3076,166,130.259,2708335.5436
2023-01-14 17:30:00,20650.0,20850.0,20650.0,20830.0,626.256,12989494.609,167,330.055,6868002.601
2023-01-14 17:35:00,20830.0,20840.0,20670.0,20677.0,341.605,7092093.821,108,186.954,3893377.617
2023-01-14 17:40:00,20830.0,20830.0,20677.0,20819.0,301.23,6252460.1491,133,142.349,2964427.4039
2023-01-14 17:45:00,20800.0,20829.9,20700.0,20820.0,357.951,7431695.8174,124,168.048,3498812.9235
2023-01-14 17:50:00,20820.0,20829.9,20711.0,20792.9,563.16,11695103.497,259,262.77,5469144.5787
2023-01-14 17:55:00,20777.8,20779.4,20627.0,20751.3,541.912,11229405.5408,184,228.583,4746050.494
2023-01-14 18:00:00,20752.5,20752.9,20627.0,20750.0,264.239,5470640.0483,116,147.973,3070766.7884
2023-01-14 18:05:00,20750.0,20752.9,20627.0,20727.9,327.768,6785854.66,122,166.623,3456564.552
2023-01-14 18:10:00,20727.9,20745.3,20640.0,20719.6,387.007,8010721.7606,124,142.096,2945360.6045
2023-01-14 18:15:00,20640.0,20790.0,20640.0,20747.7,465.409,9639213.4845,169,295.125,6120790.6438
2023-01-14 18:20:00,20743.0,20743.0,20641.0,20706.8,363.707,7531429.7213,89,87.116,1804570.287
2023-01-14 18:25:00,20721.1,20721.1,20641.0,20692.4,423.017,8757092.7642,103,122.417,2535064.9967
2023-01-14 18:30:00,20692.4,20724.0,20641.0,20724.0,460.046,9513308.5988,100,187.086,3869046.8604
2023-01-14 18:35:00,20724.0,20739.1,20670.8,20704.0,242.194,5014211.0733,83,38.379,795187.7341
2023-01-14 18:40:00,20734.7,20758.7,20704.0,20758.7,211.588,4387031.2249,89,102.698,2129402.6277
2023-01-14 18:45:00,20745.6,20773.0,20704.0,20737.9,277.071,5746692.7506,93,84.727,1758087.0547
2023-01-14 18:50:00,20741.2,20754.8,20705.0,20741.9,221.253,4589459.4829,76,78.708,1632923.6506
2023-01-14 18:55:00,20741.9,20767.3,20705.0,20759.1,470.629,9761947.8291,105,135.788,2817916.2252
2023-01-14 19:00:00,20759.1,20765.1,20705.0,20749.2,338.508,7024876.3925,95,171.566,3561186.1122
2023-01-14 19:05:00,20754.4,20761.6,20705.0,20710.0,562.989,11681607.1259,92,276.21,5732015.8312
2023-01-14 19:10:00,20710.0,20751.1,20705.0,20723.9,537.537,11147819.3606,104,255.834,5306921.336
2023-01-14 19:15:00,20723.9,20800.9,20722.4,20779.7,523.848,10876954.3191,152,253.444,5262957.5841
2023-01-14 19:20:00,20751.0,20800.9,20751.0,20790.2,277.676,5771936.7433,86,146.227,3040348.5063
2023-01-14 19:25:00,20800.0,20816.7,20778.5,20808.2,287.258,5975663.5014,107,111.109,2312101.463
2023-01-14 19:30:00,20810.1,20820.2,20770.0,20795.7,1342.376,27930631.2636,147,819.863,17061280.563
2023-01-14 19:35:00,20797.8,20810.0,20780.0,20797.1,661.048,13747555.7246,110,329.486,6852703.7491
2023-01-14 19:40:00,20797.1,20829.9,20793.2,20815.5,773.968,16110148.3191,108,500.831,10426422.4174
2023-01-14 19:45:00,20829.9,20950.0,20798.8,20841.9,1967.926,40960498.331,248,549.583,11442915.7244
2023-01-14 19:50:00,20841.9,20850.6,20759.0,20761.3,2172.1,45183461.9181,149,191.914,3994237.2191
2023-01-14 19:55:00,20766.3,20803.0,20766.3,20793.9,666.261,13848544.3493,94,362.343,7532954.818
2023-01-14 20:00:00,20793.9,20795.6,20720.0,20768.5,567.66,11794726.4564,111,227.54,4729303.7001
2023-01-14 20:05:00,20777.7,20800.4,20768.3,20778.2,461.913,9602193.7719,118,241.002,5010855.1954
2023-01-14 20:10:00,20777.7,20780.3,20760.5,20777.2,620.202,12883717.4911,97,372.615,7740537.9324
2023-01-14 20:15:00,20775.1,20811.2,20761.5,20799.7,777.868,16169712.9617,104,467.349,9718375.4694
2023-01-14 20:20:00,20808.1,20810.3,20784.0,20794.0,514.048,10689543.4873,99,229.478,4772500.6353
2023-01-14 20:25:00,20791.6,20813.3,20760.0,20800.5,742.815,15450283.6553,84,304.261,6329006.5621
2023-01-14 20:30:00,20800.5,20814.4,20792.0,20812.5,726.79,15120170.6554,94,568.83,11834042.3522
2023-01-14 20:35:00,20806.5,21000.0,20805.0,20840.0,681.43,14200613.388,270,374.264,7803560.7645
2023-01-14 20:40:00,20821.3,21000.0,20818.6,20838.1,468.086,9758478.0261,137,291.002,6069584.6393
2023-01-14 20:45:00,20838.1,20849.5,20816.5,20836.1,575.007,11981883.1825,102,352.945,7355389.3518
2023-01-14 20:50:00,20838.0,20843.2,20822.3,20836.8,685.069,14271463.8672,89,377.0,7854007.1986
2023-01-14 20:55:00,20839.4,20891.2,20833.2,20866.5,633.512,13213927.3201,117,214.657,4478480.0847
2023-01-14 21:00:00,20866.5,20891.2,20834.9,20839.4,494.729,10324465.9832,103,183.843,3837994.9201
2023-01-14 21:05:00,20839.4,21000.0,20834.9,20894.1,781.806,16325880.5391,175,453.682,9473285.8765
2023-01-14 21:10:00,20895.4,20930.6,20893.9,20926.4,557.599,11662200.016,153,290.529,6075557.2986
2023-01-14 21:15:00,20926.1,21000.0,20891.8,20926.0,1091.3,22817436.4775,150,274.968,5749966.7855
2023-01-14 21:20:00,20926.0,20930.7,20887.5,20895.4,414.723,8668844.5808,162,302.157,6316212.9755
2023-01-14 21:25:00,20895.4,20931.3,20850.0,20869.7,442.321,9238244.5802,148,118.028,2466020.3379
2023-01-14 21:30:00,20863.8,20900.0,20850.0,20867.9,488.388,10197931.1078,97,342.391,7151153.947
2023-01-14 21:35:00,20882.9,21000.0,20879.1,20888.0,625.689,13079406.9154,197,362.621,7584686.6324
2023-01-14 21:40:00,20895.9,20905.1,20830.7,20888.1,976.278,20391563.3404,209,411.508,8595775.0271
2023-01-14 21:45:00,20888.1,20910.1,20879.7,20896.8,648.377,13548116.9051,127,221.699,4631896.6194
2023-01-14 21:50:00,20896.8,20901.0,20801.0,20868.5,640.435,13371435.2236,123,230.482,4811671.4557
2023-01-14 21:55:00,20868.5,20907.2,20866.4,20891.8,477.416,9971831.0718,101,181.622,3794256.6885
2023-01-14 22:00:00,20891.8,21111.1,20885.0,20892.1,491.52,10274401.0909,133,250.012,5228988.8172
2023-01-14 22:05:00,20892.5,20902.3,20873.1,20873.1,509.375,10640406.381,88,181.136,3783936.2556
2023-01-14 22:10:00,20870.0,20891.4,20869.3,20891.4,511.382,10677084.3428,76,319.926,6680420.4415
2023-01-14 22:15:00,20887.0,21111.1,20870.0,20887.1,543.41,11354720.6671,167,206.062,4309779.595
2023-01-14 22:20:00,20882.2,20897.2,20877.8,20896.8,226.337,4726940.6362,85,102.147,2133475.5271
2023-01-14 22:25:00,20896.8,20896.8,20877.9,20882.0,383.484,8010956.4574,86,242.909,5075120.737
2023-01-14 22:30:00,20887.7,20899.6,20872.2,20888.9,711.505,14858823.3747,75,156.175,3262202.0766
2023-01-14 22:35:00,20888.9,21156.0,20886.3,20916.5,1805.951,37789137.7018,215,816.762,17090294.7484
2023-01-14 22:40:00,20916.5,21156.0,20911.6,20952.9,1445.311,30248650.6391,153,657.9,13767393.8076
2023-01-14 22:45:00,20969.0,21156.0,20881.3,20935.8,1690.29,35441829.4755,217,837.177,17559459.435
2023-01-14 22:50:00,20932.2,20966.5,20926.9,20964.4,887.252,18586449.2033,128,296.097,6202843.6179
2023-01-14 22:55:00,20964.4,21004.6,20948.3,20981.7,751.032,15754707.0169,133,457.09,9589289.4541
2023-01-14 23:00:00,20981.7,21149.0,20979.8,21037.9,1016.615,21363940.8592,166,697.646,14663830.5789
2023-01-14 23:05:00,21049.3,21100.0,20881.3,20996.0,956.07,20085392.1062,131,142.465,2991892.7341
2023-01-14 23:10:00,20989.8,21012.7,20975.5,21012.7,578.966,12156873.8533,90,297.86,6256618.1311
2023-01-14 23:15:00,21014.2,21025.6,20988.1,21020.9,642.123,13490110.3646,101,441.629,9279455.3838
2023-01-14 23:20:00,21020.9,21032.3,20999.9,21030.1,444.004,9332948.385,91,292.426,6147739.3142
2023-01-14 23:25:00,21030.1,21064.2,21018.8,21061.9,353.078,7427543.7737,99,261.641,5503699.2505
2023-01-14 23:30:00,21059.7,21156.0,21023.3,21048.9,739.171,15553924.5685,198,440.702,9275024.2562
2023-01-14 23:35:00,21044.6,21045.5,21001.3,21022.7,486.647,10229472.1777,137,309.071,6496993.8828
2023-01-14 23:40:00,21021.2,21042.5,21001.3,21039.4,690.172,14511885.9346,105,257.579,5417118.5492
2023-01-14 23:45:00,21036.2,21038.6,21013.2,21013.5,629.71,13240403.7854,98,367.782,7732894.1127
2023-01-14 23:50:00,21013.5,21025.8,20973.1,20985.9,531.175,11151804.809,122,365.824,7680439.2337
